image_id,psnr,ssim,time_seconds
000000206135.jpg,9.6902,0.6318,6.948
000000206411.jpg,22.7029,0.8434,15.127
000000206994.jpg,10.0327,0.4418,13.027
000000207306.jpg,14.3361,0.648,7.917
000000209972.jpg,20.433,0.868,7.949
000000210230.jpg,18.4558,0.7954,13.837
000000210299.jpg,14.5404,0.6022,15.005
000000211674.jpg,15.0106,0.6824,11.661
000000214192.jpg,12.4987,0.5321,13.072
000000214205.jpg,13.5767,0.4129,13.144
000000215245.jpg,13.6853,0.6513,14.534
000000215259.jpg,20.5304,0.8497,6.484
000000216636.jpg,16.1688,0.5677,12.319
000000219440.jpg,7.4137,0.2627,11.216
000000219578.jpg,13.0227,0.5279,12.355
000000222118.jpg,20.1481,0.8133,12.633
000000222299.jpg,12.8079,0.555,8.079
000000223130.jpg,10.5716,0.4776,12.871
000000223738.jpg,20.2819,0.8448,21.013
000000224337.jpg,17.8205,0.6811,12.587
000000225405.jpg,12.3584,0.5199,14.668
000000226111.jpg,20.2948,0.8238,14.979
000000226984.jpg,19.4061,0.8128,12.65
000000228981.jpg,22.0164,0.8323,14.238
000000229659.jpg,16.5025,0.7157,14.901
000000229849.jpg,15.3176,0.7419,12.578
000000230008.jpg,12.0706,0.6231,10.097
000000230166.jpg,15.0376,0.669,12.693
000000231237.jpg,15.6955,0.6815,6.97
000000231549.jpg,21.3851,0.8247,15.036
000000232538.jpg,14.6091,0.6762,14.868
000000232646.jpg,13.7177,0.6244,16.305
000000233033.jpg,12.2434,0.5405,15.138
000000234366.jpg,10.4527,0.5099,14.383
000000234526.jpg,11.7544,0.5286,19.64
000000235778.jpg,16.8816,0.7196,9.187
000000235836.jpg,11.6488,0.5721,12.411
000000239318.jpg,23.8109,0.8403,7.734
000000245320.jpg,17.4894,0.7833,12.495
000000245576.jpg,16.7614,0.6866,14.427
000000246454.jpg,6.8943,0.2442,18.667
000000247917.jpg,18.0103,0.7857,18.824
000000248334.jpg,12.0175,0.5558,8.273
000000248810.jpg,13.8945,0.6696,8.292
000000249180.jpg,14.6753,0.7369,12.56
000000249643.jpg,14.3145,0.719,14.03
000000250127.jpg,12.6251,0.4447,22.302
000000250137.jpg,18.0381,0.8105,15.053
000000250282.jpg,6.9303,0.2241,11.143
000000250619.jpg,10.3687,0.4182,14.999
000000252216.jpg,14.4911,0.6125,13.737
000000252294.jpg,13.9311,0.5825,8.068
000000252776.jpg,23.3261,0.8442,12.349
000000255718.jpg,9.7461,0.4397,14.965
000000257624.jpg,15.7302,0.7076,12.421
000000260657.jpg,16.4393,0.7261,5.065
000000261888.jpg,13.1172,0.5519,13.069
000000262938.jpg,18.8267,0.8173,14.896
000000263068.jpg,14.7673,0.5487,6.965
000000263299.jpg,13.0214,0.6201,7.017
000000263463.jpg,23.8017,0.9127,12.21
000000263474.jpg,14.5149,0.6411,15.128
000000263796.jpg,14.2853,0.6317,15.43
000000267351.jpg,18.7824,0.7774,12.993
000000269196.jpg,13.9155,0.6857,12.521
000000270244.jpg,16.0456,0.7056,13.062
000000270386.jpg,12.7014,0.662,8.145
000000272136.jpg,12.095,0.5164,12.675
000000274272.jpg,9.7385,0.3602,15.068
000000278749.jpg,6.0598,0.2283,6.523
000000279145.jpg,12.1519,0.5803,15.257
000000281414.jpg,15.8624,0.6768,13.521
000000282046.jpg,20.0326,0.8518,5.916
000000284106.jpg,16.8865,0.6748,12.364
000000284743.jpg,15.1158,0.6443,11.391
000000285349.jpg,16.8982,0.7244,7.723
000000286182.jpg,10.9208,0.4141,14.508
000000286523.jpg,24.0924,0.8997,15.998
000000287667.jpg,15.0949,0.538,14.616
000000288862.jpg,13.6664,0.6027,12.706
000000289594.jpg,6.881,0.2286,15.151
000000291551.jpg,11.5424,0.5411,13.101
000000292005.jpg,12.9007,0.4348,14.977
000000292415.jpg,18.7819,0.6733,6.725
000000293245.jpg,15.0058,0.674,14.926
000000294350.jpg,21.2953,0.8561,12.468
000000296284.jpg,16.4772,0.6912,3.688
000000296634.jpg,16.4309,0.7548,13.424
000000296657.jpg,13.771,0.6705,12.667
000000297085.jpg,16.5629,0.7334,7.618
000000297578.jpg,20.1168,0.8935,5.574
000000298396.jpg,14.5637,0.6153,15.221
000000298697.jpg,16.7309,0.6911,15.191
000000304560.jpg,17.9136,0.8326,12.105
000000307074.jpg,16.6627,0.7504,7.226
000000307145.jpg,15.9881,0.6718,4.628
000000308753.jpg,17.4443,0.7626,14.508
000000310980.jpg,17.5854,0.6875,12.692
000000312192.jpg,12.1939,0.3817,15.054
000000312237.jpg,15.4637,0.6924,6.875
000000312489.jpg,17.1058,0.7896,6.981
000000313562.jpg,12.3541,0.6067,14.483
000000314914.jpg,9.2969,0.4271,15.089
000000317999.jpg,22.5842,0.8672,18.916
000000319617.jpg,27.9228,0.9377,2.638
000000320706.jpg,12.4326,0.4672,14.751
000000322352.jpg,12.5781,0.5544,7.835
000000322864.jpg,18.5619,0.7947,11.951
000000322895.jpg,20.3689,0.8053,14.615
