image_id,psnr,ssim,time_seconds
000000415882.jpg,14.1732,0.6752,1.116
000000419096.jpg,24.0819,0.8488,1.311
000000419312.jpg,19.4424,0.7236,0.709
000000420230.jpg,19.788,0.6405,0.996
000000426253.jpg,25.3137,0.7695,1.033
000000426372.jpg,19.0136,0.7495,0.941
000000428867.jpg,24.4878,0.8316,0.598
000000430875.jpg,19.8134,0.8266,0.637
000000430973.jpg,12.1703,0.5384,0.912
000000432553.jpg,19.894,0.7099,0.863
000000433134.jpg,17.1937,0.7678,1.056
000000434548.jpg,18.0526,0.7662,1.122
000000436315.jpg,17.5863,0.7596,0.99
000000436883.jpg,19.1924,0.7221,0.887
000000437351.jpg,18.0181,0.6675,0.694
000000438304.jpg,18.8958,0.6782,0.966
000000439994.jpg,19.8263,0.7616,0.821
000000440336.jpg,18.066,0.7543,0.647
000000442661.jpg,19.1678,0.7289,0.995
000000445602.jpg,15.6563,0.6647,1.018
000000446117.jpg,17.284,0.6745,1.033
000000448263.jpg,18.5339,0.761,0.349
000000450202.jpg,22.4041,0.8909,0.581
000000450399.jpg,21.7854,0.7683,1.13
000000450488.jpg,23.9473,0.7824,0.619
000000452084.jpg,20.2346,0.7962,1.335
000000452122.jpg,16.9305,0.9016,0.879
000000453634.jpg,14.8713,0.7178,1.101
000000457848.jpg,21.3839,0.7695,0.846
000000460379.jpg,18.3514,0.7433,0.873
000000460682.jpg,21.0982,0.7393,0.428
000000460927.jpg,23.1958,0.7988,0.762
000000461275.jpg,20.7913,0.7364,0.562
000000463283.jpg,17.3747,0.68,1.323
000000466602.jpg,16.5999,0.5397,0.986
000000467848.jpg,20.9757,0.7391,0.962
000000473118.jpg,21.7422,0.6145,0.574
000000474078.jpg,16.0601,0.5337,1.043
000000475678.jpg,16.6346,0.6348,1.011
000000477805.jpg,29.469,0.9617,11.47
000000477955.jpg,8.7473,0.4598,1.001
000000478420.jpg,18.2863,0.6793,1.142
000000479596.jpg,12.5508,0.7056,1.013
000000480021.jpg,21.1096,0.7508,0.944
000000480212.jpg,19.9656,0.6963,0.975
000000481573.jpg,20.2229,0.7697,1.267
000000481582.jpg,21.0363,0.7108,0.899
000000482978.jpg,18.837,0.7078,0.802
000000483531.jpg,19.2326,0.672,1.006
000000486046.jpg,21.6188,0.7598,0.97
000000488385.jpg,22.4106,0.6868,0.905
000000490413.jpg,15.3707,0.8254,0.548
000000492110.jpg,22.0778,0.7252,0.883
000000494634.jpg,14.4799,0.7834,1.036
000000500423.jpg,19.6788,0.698,0.948
000000501243.jpg,20.3247,0.7241,0.878
000000501368.jpg,11.9363,0.7289,0.617
000000502910.jpg,17.1565,0.6911,0.92
000000504074.jpg,24.682,0.7887,0.926
000000505789.jpg,19.3585,0.8003,0.992
000000507042.jpg,22.0257,0.7214,0.842
000000508730.jpg,17.2522,0.5649,1.04
000000508917.jpg,21.5547,0.7865,0.775
000000509260.jpg,20.1274,0.7125,0.648
000000509735.jpg,20.1117,0.6524,0.978
000000511384.jpg,17.2114,0.6796,0.98
000000511760.jpg,24.8434,0.9034,0.661
000000512194.jpg,12.0366,0.5459,0.994
000000512248.jpg,15.9027,0.7081,1.124
000000512985.jpg,24.1413,0.8806,1.012
000000514797.jpg,17.0561,0.7032,0.914
000000515579.jpg,21.1765,0.7229,0.531
000000517056.jpg,21.6972,0.7743,1.148
000000517687.jpg,16.5565,0.6487,0.799
000000518213.jpg,16.2527,0.7987,1.015
000000520707.jpg,16.6425,0.5649,1.023
000000521819.jpg,21.9287,0.8575,1.206
000000522638.jpg,16.6584,0.5796,0.899
000000523782.jpg,18.5869,0.6446,1.062
000000523957.jpg,22.2374,0.8302,0.933
000000524742.jpg,15.0672,0.6139,0.992
000000525322.jpg,10.6304,0.6547,1.117
000000526392.jpg,21.2568,0.6813,0.519
000000527029.jpg,19.7245,0.6548,1.299
000000527220.jpg,16.2684,0.7174,0.338
000000528399.jpg,17.6397,0.6796,0.945
000000529528.jpg,20.3106,0.7044,0.577
000000532058.jpg,21.1728,0.6608,1.12
000000532761.jpg,20.3878,0.651,0.975
000000533145.jpg,19.8329,0.5821,0.672
000000533206.jpg,18.3739,0.6605,0.959
000000534827.jpg,22.7689,0.7227,2.266
000000537506.jpg,19.3543,0.8671,0.707
000000540414.jpg,20.3006,0.7294,1.037
000000540466.jpg,19.7392,0.7536,0.879
000000542423.jpg,21.643,0.7735,1.559
000000543043.jpg,19.0831,0.7738,1.032
000000544811.jpg,17.2837,0.8366,0.804
000000549055.jpg,23.3993,0.8671,0.687
000000549674.jpg,16.2961,0.7412,1.099
000000550084.jpg,21.1528,0.8935,0.639
000000550714.jpg,14.1028,0.8348,1.12
000000551822.jpg,19.113,0.7067,0.972
000000552612.jpg,20.4965,0.6747,1.186
000000553339.jpg,26.8691,0.8765,0.636
000000553776.jpg,21.8852,0.8028,1.033
000000555050.jpg,17.4116,0.624,0.594
000000556765.jpg,22.6753,0.7074,0.853
000000556873.jpg,21.9958,0.8343,1.037
000000557672.jpg,19.6882,0.8118,1.004
000000558073.jpg,15.8401,0.6366,0.742
000000561679.jpg,20.3476,0.7697,1.094
000000561889.jpg,16.9612,0.682,0.935
000000562243.jpg,23.4467,0.7403,1.393
000000563470.jpg,19.6257,0.811,0.987
000000566758.jpg,16.043,0.5663,1.136
000000567432.jpg,21.0415,0.4988,0.935
000000568195.jpg,18.0314,0.8096,0.952
000000568584.jpg,18.0404,0.6396,1.413
000000568710.jpg,22.1761,0.758,0.811
000000570736.jpg,17.5681,0.5913,0.851
000000573258.jpg,16.9565,0.8166,0.947
000000575243.jpg,16.6989,0.6682,0.945
000000576654.jpg,16.5186,0.7155,1.003
000000578093.jpg,21.6129,0.7624,1.119
000000578500.jpg,16.6286,0.6573,0.744
000000580294.jpg,21.4198,0.6872,1.039
000000580418.jpg,19.8717,0.7096,0.924
